num,best,mean,median,l25
1,0,0,0,0
num,best,mean,median,l25
2,1,1,0,0
num,best,mean,median,l25
3,2,2,0,0
num,best,mean,median,l25
4,1,1,0,1
num,best,mean,median,l25
5,1,1,1,1
num,best,mean,median,l25
6,2,1,1,1
num,best,mean,median,l25
7,2,2,1,1
num,best,mean,median,l25
8,2,2,1,1
num,best,mean,median,l25
9,3,2,2,1
num,best,mean,median,l25
10,3,2,2,2
num,best,mean,median,l25
11,3,2,2,2
num,best,mean,median,l25
12,4,2,2,2
num,best,mean,median,l25
13,4,2,3,2
num,best,mean,median,l25
14,5,3,3,2
num,best,mean,median,l25
15,5,3,3,2
num,best,mean,median,l25
16,4,3,3,2
num,best,mean,median,l25
17,5,3,3,3
num,best,mean,median,l25
18,6,3,3,3
num,best,mean,median,l25
19,6,3,4,3
num,best,mean,median,l25
20,6,4,4,3
num,best,mean,median,l25
21,6,4,4,4
num,best,mean,median,l25
22,8,4,5,4
num,best,mean,median,l25
23,9,4,5,3
num,best,mean,median,l25
24,9,3,5,5
num,best,mean,median,l25
25,9,4,5,6
num,best,mean,median,l25
26,8,4,5,3
num,best,mean,median,l25
27,9,5,5,5
num,best,mean,median,l25
28,9,4,6,4
num,best,mean,median,l25
29,10,5,6,4
num,best,mean,median,l25
30,10,4,6,4
num,best,mean,median,l25
31,10,5,6,5
num,best,mean,median,l25
32,12,4,6,4
num,best,mean,median,l25
33,12,4,7,5
num,best,mean,median,l25
34,11,6,7,5
num,best,mean,median,l25
35,12,5,7,5
num,best,mean,median,l25
36,13,5,7,6
num,best,mean,median,l25
37,13,6,8,6
num,best,mean,median,l25
38,14,5,8,6
num,best,mean,median,l25
39,14,6,9,6
num,best,mean,median,l25
40,14,6,9,6
